player_id,player_name,team,age,games_played,minutes,ppg,rpg,apg,spg,bpg,tov,fg_pct,fg3_pct,ft_pct,plus_minus,oreb,dreb,fg3a,fta,fga,off_rating,def_rating,net_rating,ts_pct,usg_pct,ast_pct,oreb_pct,dreb_pct,efg_pct,pie,salary,years_remaining,contract_type,salary_2627,salary_2728,salary_2829,salary_2930,salary_3031,guaranteed_millions,availability_pct,position,salary_millions,pct_scoring,pct_playmaking,pct_rebounding,pct_efficiency,pct_defense_steals,pct_defense_blocks,pct_availability,pct_ts,pct_usg,pct_net_rating,pct_pie,pct_off_rating,pct_def_rating,pct_defense,ts_pct_display,pie_display
1631172,Ousmane Dieng,MIL,22.0,57,19.3,7.6,3.2,2.4,0.4,0.3,1.3,0.422,0.341,0.711,-3.7,0.5,2.6,3.2,0.8,7.0,108.7,117.3,-8.6,0.516,0.192,0.185,0.026,0.136,0.501,0.075,6670882.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,6.67,36.6,C,6.67,0.377,0.591,0.415,0.221,0.132,0.443,0.224,0.135,0.622,0.206,0.296,0.225,0.216,0.264,51.6,7.5
1627747,Caris LeVert,DET,31.0,60,19.2,7.4,2.0,2.7,0.9,0.7,1.4,0.417,0.333,0.679,-0.1,0.4,1.6,3.0,1.4,6.5,108.6,107.7,0.8,0.518,0.178,0.202,0.018,0.074,0.494,0.081,14104000.0,1,Multi-Year,14.81,0.0,0.0,0.0,0.0,28.91,73.2,SG,14.1,0.356,0.664,0.148,0.189,0.653,0.801,0.59,0.147,0.515,0.592,0.379,0.218,0.908,0.787,51.8,8.1
1631321,Sidy Cissoko,POR,22.0,75,19.1,5.1,2.2,1.5,0.7,0.3,0.9,0.398,0.298,0.659,-0.8,0.8,1.4,2.6,1.2,4.5,109.2,110.9,-1.7,0.514,0.123,0.107,0.041,0.071,0.487,0.036,686243.0,1,Minimum,2.5,0.0,0.0,0.0,0.0,0.69,91.5,SF,0.69,0.152,0.361,0.183,0.161,0.452,0.443,0.871,0.125,0.117,0.475,0.017,0.246,0.718,0.538,51.4,3.6
1626156,D'Angelo Russell,WAS,30.0,26,19.0,10.2,2.3,4.0,0.5,0.1,1.9,0.405,0.295,0.717,-1.6,0.3,2.0,4.3,2.3,8.9,107.9,111.2,-3.3,0.511,0.261,0.328,0.016,0.092,0.476,0.098,5685000.0,1,Multi-Year,5.97,0.0,0.0,0.0,0.0,5.68,31.7,PG,5.68,0.568,0.847,0.206,0.126,0.217,0.133,0.193,0.117,0.906,0.404,0.599,0.183,0.69,0.347,51.1,9.8
1641707,Taylor Hendricks,MEM,22.0,59,19.0,7.4,3.7,0.9,0.8,0.5,0.8,0.459,0.342,0.681,-4.4,1.1,2.6,3.1,1.2,6.0,108.4,119.1,-10.7,0.566,0.157,0.07,0.054,0.141,0.548,0.077,6127080.0,1,Multi-Year,7.81,0.0,0.0,0.0,0.0,13.93,40.2,PF,6.13,0.356,0.149,0.527,0.543,0.552,0.684,0.252,0.416,0.343,0.13,0.321,0.206,0.136,0.457,56.6,7.7
1630549,Day'Ron Sharpe,BKN,24.0,62,18.7,8.7,6.7,2.3,1.1,0.4,1.7,0.601,0.231,0.678,-1.8,2.8,3.9,0.6,2.5,5.7,107.3,111.7,-4.3,0.638,0.19,0.207,0.143,0.222,0.614,0.141,6250000.0,1,Multi-Year,6.25,0.0,0.0,0.0,0.0,6.25,75.6,C,6.25,0.473,0.573,0.871,0.876,0.808,0.582,0.613,0.877,0.61,0.355,0.917,0.158,0.655,0.682,63.8,14.1
1631248,Baylor Scheierman,BOS,25.0,77,18.6,5.5,3.5,1.5,0.5,0.1,0.6,0.453,0.399,0.903,2.6,0.7,2.8,3.2,0.4,4.3,116.3,109.0,7.3,0.616,0.117,0.108,0.038,0.138,0.599,0.085,2619000.0,2,Multi-Year,2.74,4.95,0.0,0.0,0.0,5.36,93.9,SG,2.62,0.197,0.361,0.49,0.829,0.217,0.133,0.91,0.781,0.088,0.884,0.434,0.8,0.851,0.4,61.6,8.5
1641765,Olivier-Maxence Prosper,MEM,23.0,53,18.6,10.0,3.5,1.0,0.8,0.2,0.9,0.549,0.405,0.754,-3.9,1.1,2.4,2.8,2.2,6.6,110.7,120.4,-9.7,0.662,0.183,0.077,0.057,0.127,0.634,0.103,1002360.0,2,Minimum,1.0,1.0,0.0,0.0,0.0,3.01,64.6,PF,1.0,0.553,0.191,0.49,0.907,0.552,0.282,0.486,0.92,0.566,0.167,0.643,0.377,0.1,0.311,66.2,10.3
1630557,Corey Kispert,ATL,27.0,58,18.6,9.2,2.3,1.6,0.3,0.2,0.8,0.467,0.367,0.794,-2.6,0.5,1.8,4.1,1.7,6.8,108.9,115.9,-7.0,0.609,0.179,0.121,0.022,0.091,0.577,0.088,13975000.0,3,Multi-Year,13.98,13.05,13.05,0.0,0.0,41.0,47.6,SF,13.98,0.503,0.397,0.206,0.743,0.071,0.282,0.327,0.734,0.526,0.257,0.474,0.234,0.294,0.216,60.9,8.8
1630311,Pat Spencer,GSW,29.0,66,18.6,7.2,2.4,3.5,0.7,0.1,1.3,0.427,0.357,0.772,-1.4,0.8,1.6,2.5,0.9,6.6,112.1,115.6,-3.4,0.516,0.185,0.27,0.041,0.091,0.495,0.087,857804.0,0,Minimum,0.0,0.0,0.0,0.0,0.0,0.86,80.5,PG,0.86,0.336,0.783,0.231,0.192,0.452,0.133,0.694,0.135,0.583,0.399,0.459,0.485,0.31,0.298,51.6,8.7
